OID_,COUNT,MEAN_JV,MEAN_LND_VAL,MEAN_LND_SQFOOT,MEAN_ACT_YR_BLT,MEAN_TOT_LVG_AREA,MEAN_WaterAccess,SHAPE_Area,Hwy_NEAR_DIST,Hwy_Acc_NEAR_DIST,Beach_NEAR_DIST,Grocery_NEAR_DIST,A_School_NEAR_DIST,B_School_NEAR_DIST,C_School_NEAR_DIST,Any_School_NEAR_DIST,Lat,Long
1,8.000000000000000,363392.5,25538.750000000000000,7296.625000000000000,1965.625000000000000,1625.375000000000000,0.000000000000000,93217.782312721625203,1901.415009255962332,2453.660222337417508,20136.570375406328822,11689.136079701975177,17330.962641640071524,2372.008477731649236,3204.959956441668055,2372.008477731649236,26.2793198,-80.1315155
2,9.000000000000000,668870,61600.000000000000000,7699.888888888888687,1958.555555555555657,1911.000000000000000,0.000000000000000,93217.889951151781133,9867.492467392508843,10164.395316550026109,3331.755700755667931,17114.183693785882497,14099.496846556852688,15267.473524834640557,2765.133916676591070,2765.133916676591070,26.3074760,-80.0870743
3,6.000000000000000,553113.333333333,53715.000000000000000,7982.000000000000000,1986.500000000000000,2055.500000000000000,0.000000000000000,93217.782314838535967,13633.619346451092497,13975.301185951380830,27338.991020177199971,29531.746808259031241,7760.049867525771333,2908.541156857784699,17232.349508877916378,2908.541156857784699,26.3246117,-80.1589355
4,1.000000000000000,438800,40720.000000000000000,2036.000000000000000,1986.000000000000000,1704.000000000000000,0.000000000000000,93217.782314838535967,11409.395424998099770,11911.722312790927390,25994.980126506725355,23479.073776739565801,8260.375672412728818,4721.571613055155467,12370.989182187871847,4721.571613055155467,26.3033867,-80.1564865
5,8.000000000000000,564903.75,93186.250000000000000,7765.500000000000000,1959.500000000000000,1683.500000000000000,0.000000000000000,93217.836134053621208,9951.934043050418040,9953.746200944247903,5045.501100028996007,13249.658461085457020,17727.365913651101437,12473.125316799629218,3616.603881826258203,3616.603881826258203,26.2971134,-80.0897598
6,12.000000000000000,478731.666666667,43192.500000000000000,7198.750000000000000,1990.333333333333258,2308.583333333333485,0.000000000000000,93217.889951151781133,16824.574606640278944,16957.652273206178506,30388.750101670651929,30822.704523629752657,5780.804338401473615,2966.586158130796321,19232.046216500715673,2966.586158130796321,26.3215084,-80.1684952
7,9.000000000000000,261521.111111111,16051.111111111111313,8025.777777777777374,1958.000000000000000,1104.000000000000000,0.000000000000000,93217.836134053621208,612.731597171709268,4602.728862756433955,15959.151373399505246,11527.409090110479156,19124.711747629662568,2387.716442905737495,2968.723446617711943,2387.716442905737495,26.2878361,-80.1219101
8,7.000000000000000,516088.571428571,47478.571428571427532,7912.714285714285325,1985.714285714285779,2055.142857142857338,0.000000000000000,93217.889953268706449,14829.315632150015517,14985.793581121606621,28412.270304335579567,29547.593668285357126,7408.641077746338851,1927.438608287149236,17605.291373108717380,1927.438608287149236,26.3219242,-80.1624222
9,6.000000000000000,233138.333333333,11340.000000000000000,3780.000000000000000,1982.000000000000000,1062.166666666666742,0.000000000000000,93217.782314838535967,1906.059666145341680,4206.714595759057374,19157.542635748322937,13054.244915130197114,18359.235374715663056,2815.649923185240368,5087.261961642811002,2815.649923185240368,26.2856369,-80.1314697
10,2.000000000000000,476875,53660.000000000000000,8943.500000000000000,1981.000000000000000,2183.000000000000000,0.000000000000000,93217.836134053621208,5902.172450978102461,6238.901452738471562,20316.113582747493638,19425.004199065209832,13811.639627728120104,8374.011793905790910,7659.519508005178977,7659.519508005178977,26.3032837,-80.1391449
11,8.000000000000000,362628.75,16605.000000000000000,8301.250000000000000,1967.750000000000000,1513.125000000000000,0.000000000000000,93217.782314838535967,1983.676922442910154,2577.209635431914194,16396.217507892528374,8510.359589349580347,15983.751322962094491,1663.069344669420843,2214.789781122883596,1663.069344669420843,26.2796917,-80.1185074
12,12.000000000000000,438641.666666667,44116.666666666664241,7352.750000000000000,1979.916666666666742,1784.833333333333258,0.000000000000000,93217.782314838535967,13695.015094737485924,13853.433404157300174,27277.566006587287120,28785.162769487855257,8361.894381758995223,1947.645497239903307,16656.396340746090573,1947.645497239903307,26.3219051,-80.1589508
13,2.000000000000000,808655,101230.000000000000000,6748.500000000000000,1960.500000000000000,1861.500000000000000,0.000000000000000,93217.782312721625203,11976.117281982340501,11976.117281982340501,1153.718260947651515,22091.786019439521624,10709.674278141335890,20117.728713171527488,5059.176104168256643,5059.176104168256643,26.3196087,-80.0791702
14,8.000000000000000,339918.75,16027.500000000000000,8014.250000000000000,1969.125000000000000,1637.000000000000000,0.000000000000000,93217.782312721625203,560.762552659422568,1530.541070628983789,17676.761597317039559,9403.072187161560578,16217.982290118043238,539.030630643592644,2623.693122539958495,539.030630643592644,26.2792664,-80.1228485
15,6.000000000000000,395368.333333333,44775.000000000000000,3563.166666666666515,1986.000000000000000,1955.500000000000000,0.000000000000000,93217.782312721625203,10210.251829893932154,10695.833144774538596,23969.072612946005393,27733.432967197182734,10463.263273146712891,5057.828104765757416,14797.545700221960942,5057.828104765757416,26.3254528,-80.1485214
16,10.000000000000000,422955,42300.000000000000000,7050.000000000000000,1979.299999999999955,1763.299999999999955,0.000000000000000,93217.782314838535967,12874.987483960576355,12967.323444223948172,26398.778301861631917,27854.662147703256778,8869.965651342816273,1947.065372941742453,15675.304854416361195,1947.065372941742453,26.3205357,-80.1563644
17,8.000000000000000,277238.75,28961.250000000000000,7240.875000000000000,1973.750000000000000,1347.375000000000000,0.000000000000000,93217.889953268706449,2476.571658175093489,3615.576590847314947,11003.377541740101151,23401.803319904163800,7509.374702673224419,16964.085253181434382,4867.575925093031401,4867.575925093031401,26.3261127,-80.1086121
18,4.000000000000000,811777.5,133870.000000000000000,16129.000000000000000,1981.500000000000000,3920.250000000000000,0.000000000000000,93217.836134053621208,5379.241020707038842,6183.048385017061264,19170.671468496690068,25484.032630810244882,10156.414221631843247,9347.495388535013262,10595.129005133918326,9347.495388535013262,26.3258171,-80.1337738
19,7.000000000000000,274285.714285714,34711.428571428572468,2479.285714285714221,1983.285714285714221,1174.000000000000000,0.000000000000000,93217.836134053621208,4858.524250260264125,6950.009421550495063,20400.384115796332480,16945.937816338060657,14916.601572596888218,6673.948085147933853,6825.561776013210874,6673.948085147933853,26.2947044,-80.1383362
20,7.000000000000000,364077.142857143,18541.428571428572468,9271.285714285713766,1964.714285714285779,1538.142857142857110,0.000000000000000,93217.889953268706449,2289.620923954706996,3829.997025595934247,15369.768430616932164,9501.957730571966749,17364.176054108353128,2134.604310023591552,3679.097255697706714,2134.604310023591552,26.2837486,-80.1176071
21,2.000000000000000,455200,51650.000000000000000,10570.500000000000000,2000.000000000000000,2147.000000000000000,0.000000000000000,93217.836134053621208,13986.882935174990052,15412.040126351525032,29633.653217294275237,24642.022280928573309,6860.988723297123215,3923.897249847766489,12169.057055339317230,3923.897249847766489,26.2953243,-80.1669464
22,3.000000000000000,338880,37453.333333333335759,5350.333333333333030,1980.000000000000000,1681.000000000000000,0.000000000000000,93217.836134053621208,4388.196901852407791,4441.428669512208216,17869.988000815392297,22922.420790175445291,11360.464660173789525,9872.362017457346155,8478.431114040486136,8478.431114040486136,26.3194771,-80.1303482
23,4.000000000000000,330197.5,31785.000000000000000,9082.000000000000000,1964.000000000000000,1385.500000000000000,0.000000000000000,93217.889953268706449,2187.939684609826145,2609.754381741061479,20464.498966520714021,11846.379415796574904,17319.517725289573718,2690.782304911620486,2888.635686013148188,2690.782304911620486,26.2788734,-80.1323853
24,8.000000000000000,533852.5,90000.000000000000000,7500.000000000000000,1959.625000000000000,1610.375000000000000,0.000000000000000,93217.889953268706449,9401.211713852821049,9407.001795486616174,5527.360214682403239,13109.152552916353670,17684.193534641315637,11976.278681190757197,3344.699141048774436,3344.699141048774436,26.2971230,-80.0914917
25,10.000000000000000,328152,14167.000000000000000,7083.699999999999818,1960.400000000000091,1539.900000000000091,0.000000000000000,93217.889954490907257,2395.874889288348641,2830.206657478053330,12031.578649429960933,13832.117274041260316,17407.183894818532281,7121.246354913028881,1518.501869273895181,1518.501869273895181,26.2986126,-80.1131592
26,11.000000000000000,333395.454545455,26452.727272727272066,2695.363636363636488,2000.000000000000000,1514.000000000000000,0.000000000000000,93217.889953268706449,14779.217075506907349,16070.272801652256021,30089.918048339048255,25625.452957239205716,5756.076957347376265,3506.176168747191696,13249.105984845837156,3506.176168747191696,26.2980423,-80.1686630
27,6.000000000000000,229035,24045.000000000000000,6011.333333333333030,1990.500000000000000,1654.666666666666742,0.000000000000000,93217.889951151781133,3799.218738151771504,4350.455610698273631,9536.818793913858826,16623.882582985857880,14285.383045128688536,11097.415291503613844,484.051172437721618,484.051172437721618,26.3075962,-80.1061554
28,5.000000000000000,462202,63064.000000000000000,8425.200000000000728,1984.599999999999909,2012.200000000000045,0.000000000000000,93217.889953268706449,8999.955732347874800,9084.624318507158023,4855.453160617013054,14711.490361347468934,16047.034048559649818,12849.297670597881734,1970.814436464721211,1970.814436464721211,26.3016357,-80.0914536
29,2.000000000000000,287695,10630.000000000000000,1686.000000000000000,1982.000000000000000,1541.000000000000000,0.000000000000000,93217.782312721625203,3506.770729324853164,5936.838116843360694,20103.743146389737376,14880.237860022874884,16568.068090350967395,4634.758067993159784,5759.621387797831630,4634.758067993159784,26.2888222,-80.1357803
30,7.000000000000000,1445908.57142857,406218.571428571420256,10875.714285714286234,1974.000000000000000,3046.285714285714221,0.428571428571429,93217.836131936695892,12388.633460866114547,12509.670643098119399,2012.363644712189625,15459.323110201725285,16940.534653409769817,15597.896030292587966,5065.146969838294353,5065.146969838294353,26.3006668,-80.0810547
31,4.000000000000000,374635,28667.500000000000000,7166.500000000000000,1960.000000000000000,1482.250000000000000,0.000000000000000,93217.782314838535967,4752.816707212388792,4778.702732494678457,9427.958032165262921,13820.739550740920095,16990.762091946366127,9001.202002049518342,2208.060416417240958,2208.060416417240958,26.2999191,-80.1053467
32,10.000000000000000,262213,16361.000000000000000,8180.300000000000182,1958.000000000000000,1210.900000000000091,0.000000000000000,93217.836131936695892,1143.521566446117959,2663.949959674510410,16682.097819770351634,9689.994973621722238,16992.172024531697389,823.872653007687177,3211.165954410037557,823.872653007687177,26.2819633,-80.1210938
33,7.000000000000000,670334.285714286,173657.142857142869616,12126.142857142856883,1965.714285714285779,2211.000000000000000,1.000000000000000,93217.836131936695892,7560.459645710865516,7840.166430382236285,5920.022119092091089,23063.671395696655964,7497.961590350252663,18778.628534063671395,2020.203098195629991,2020.203098195629991,26.3251133,-80.0930099
34,10.000000000000000,147702,4843.000000000000000,1210.799999999999955,1974.500000000000000,1059.900000000000091,0.000000000000000,93217.889954490907257,1199.022778130320376,2270.589650566433193,11999.808794245027457,18602.451817606470286,12485.933894818532281,11685.000325475824866,2219.775650419799149,2219.775650419799149,26.3121510,-80.1130600
35,5.000000000000000,185114,18480.000000000000000,5071.800000000000182,1976.799999999999955,1101.599999999999909,0.000000000000000,93217.782314838535967,4035.694444970747554,4668.315503604244441,9269.565083074774520,16761.290068131333101,14105.720772188418778,11384.710934828563040,430.120853576490617,430.120853576490617,26.3080406,-80.1052856
36,7.000000000000000,479190,48620.000000000000000,8103.142857142856883,1985.571428571428669,1906.714285714285779,0.000000000000000,93217.782314838535967,14535.507954943037475,14717.282902664026551,28137.847444963568705,29475.774763424575212,7708.311903893165436,2047.757173136893471,17455.512602744987817,2047.757173136893471,26.3223705,-80.1615524
37,3.000000000000000,376023.333333333,14000.000000000000000,7000.000000000000000,1973.666666666666742,1561.000000000000000,0.000000000000000,93217.889953268706449,655.143711806763349,784.502824904882800,13233.312165388557332,15680.220542359469619,15990.347490932623259,7983.984608900155763,2535.290609419762404,2535.290609419762404,26.3027020,-80.1174622
38,17.000000000000000,265507.647058824,6697.647058823529733,3350.588235294117567,1975.176470588235361,1382.117647058823422,0.000000000000000,93217.889953268706449,780.285747858105879,3794.468210145949342,18110.080261190836609,12214.276794036559295,18957.831026754989580,1951.020229614292248,4864.400726534408932,1951.020229614292248,26.2856159,-80.1279984
39,18.000000000000000,262082.777777778,8603.888888888888687,860.388888888888914,1983.222222222222172,1225.388888888888914,0.000000000000000,93217.836134053621208,3190.973237584297749,5640.159128091601815,19883.993434423831786,14557.698443170258543,16895.718104758409027,4307.955143895087531,5648.208630447381438,4307.955143895087531,26.2883663,-80.1349182
40,15.000000000000000,435621.333333333,42816.000000000000000,2140.800000000000182,2021.000000000000000,1892.066666666666606,0.000000000000000,93217.836134053621208,3555.919524816845296,3828.335601533690351,17285.141044475447416,20001.838666909054155,14039.979897005789098,10257.042558974926578,6833.569077442833077,6833.569077442833077,26.3108978,-80.1295471
41,4.000000000000000,778197.5,109802.500000000000000,10980.250000000000000,1979.250000000000000,3480.750000000000000,0.000000000000000,93217.782314838535967,5146.829091786686149,5602.132603282666423,18817.358727449081925,24620.708221168177261,10604.921209532043576,9342.266539616297450,9925.720835400186843,9342.266539616297450,26.3235550,-80.1329193
42,14.000000000000000,618345,18958.571428571427532,4739.857142857143117,2020.000000000000000,2530.285714285714221,0.000000000000000,93217.836134053621208,4169.339238529100840,4601.873033481479069,22026.410397212963289,13816.201767040587583,17489.671827066809783,4569.759492850947026,2578.001803445332826,2578.001803445332826,26.2802639,-80.1384430
43,24.000000000000000,276572.5,6213.333333333333030,3108.666666666666515,1979.333333333333258,1381.541666666666742,0.000000000000000,93217.782312721625203,1084.228209262564405,4027.165498650472273,18307.040167981882405,12532.712344304514772,19040.759356840229884,2261.505277740134716,4965.481520366949553,2261.505277740134716,26.2860737,-80.1288605
44,3.000000000000000,402473.333333333,32453.333333333332121,8112.666666666666970,1967.333333333333258,1517.666666666666742,0.000000000000000,93217.836134053621208,6872.365793306666092,7043.087443519772023,6679.852809265945325,15259.706642975361319,15209.645661496768298,11837.293604783189949,594.829428218941416,594.829428218941416,26.3039303,-80.0975113
45,3.000000000000000,372373.333333333,16000.000000000000000,8002.000000000000000,1973.333333333333258,1757.000000000000000,0.000000000000000,93217.889953268706449,3115.211457286427049,3394.273728256607683,15665.671716021084649,7537.710263023480366,15433.849273653540877,2845.987001069589951,2006.794950447483188,2006.794950447483188,26.2787685,-80.1150436
46,9.000000000000000,304792.222222222,19750.000000000000000,2083.333333333333485,1976.555555555555657,1487.333333333333258,0.000000000000000,93217.836133442528080,7526.689998688094420,9231.297876131155135,23767.346296469397203,18451.260241965570458,12778.208038367230984,8432.535576925656642,6992.791227642371268,6992.791227642371268,26.2907009,-80.1479034
47,13.000000000000000,390909.230769231,42827.692307692304894,6675.076923076922867,1986.230769230769283,1727.384615384615472,0.000000000000000,93217.782312721625203,16479.569092164951144,16557.849516164140368,30077.314709599195339,30276.506288473778113,5656.169713202808452,2461.772757265920973,18745.472528213249461,2461.772757265920973,26.3201504,-80.1676407
48,6.000000000000000,558108.333333333,22011.666666666667879,5503.000000000000000,2020.000000000000000,2190.833333333333485,0.000000000000000,93217.836134053621208,5582.543945233504928,6100.876339870401353,23135.270383286788274,15299.502248934521049,16063.986221994555308,5983.409618575165041,3304.284916329378120,3304.284916329378120,26.2816448,-80.1427689
49,3.000000000000000,1327766.66666667,359986.666666666686069,8999.666666666666060,1983.000000000000000,3039.333333333333485,1.000000000000000,93217.782314838535967,9124.371669240163101,9124.371669240163101,3960.605009188853728,21046.634214287732902,10022.228026825239795,17929.627887600599934,2225.909791475217389,2225.909791475217389,26.3187618,-80.0878525
50,7.000000000000000,657317.142857143,64390.000000000000000,8048.571428571428442,1960.857142857142890,1908.428571428571331,0.000000000000000,93217.836131936695892,10419.300398246818077,10692.378473297729215,2768.828238814724955,17268.857300380837842,14210.531055114926858,15715.138270548035507,3323.509968718341497,3323.509968718341497,26.3074646,-80.0853424
51,4.000000000000000,889722.5,279430.000000000000000,9931.500000000000000,1961.750000000000000,2194.500000000000000,0.750000000000000,93217.782312721625203,11206.945712095408453,11587.919938502622244,2122.042657284520374,16510.203890078919358,15297.669947166552447,15609.932012826229766,3866.810186884069481,3866.810186884069481,26.3047447,-80.0836258
52,11.000000000000000,255693.636363636,24654.545454545455868,6163.636363636363967,1970.909090909090992,1640.090909090909008,0.000000000000000,93217.782314838535967,3002.791591745140977,3605.148602168806974,10354.482031594392538,22693.675090882228687,8264.585412361626368,16512.458804998641426,4058.513807393654133,4058.513807393654133,26.3242970,-80.1068954
53,5.000000000000000,477580,69472.000000000000000,10164.399999999999636,1983.599999999999909,2053.800000000000182,0.000000000000000,93217.782312721625203,16510.301680005006347,16712.796011516675208,30132.833508648025600,30966.330793845620065,6332.407880781655876,3071.652744389361033,19231.406344275630545,3071.652744389361033,26.3228569,-80.1676178
