OID_,COUNT,MEAN_JV,MEAN_LND_VAL,MEAN_LND_SQFOOT,MEAN_ACT_YR_BLT,MEAN_TOT_LVG_AREA,MEAN_WaterAccess,SHAPE_Length,SHAPE_Area,Grocery_NEAR_DIST,NEAR_FID,Hwy_Acc_NEAR_DIST,Hwy_NEAR_DIST,A_School_NEAR_DIST,B_School_NEAR_DIST,C_School_NEAR_DIST,Any_School_NEAR_DIST,Lat,Long,Beach_NEAR_DIST
1,8.000000000000000,363392.500000000000000,25538.750000000000000,7296.625000000000000,1965.625000000000000,1625.375000000000000,0.000000000000000,1136.513739941730591,93217.782312721625203,8106.580388690392283,,2453.660222337417508,1901.415009255962332,17330.962641640071524,2372.008477731649236,3204.959956441668055,2372.008477731649236,708167.875043906271458,940749.467584662139416,20136.5703754063
2,9.000000000000000,668870.000000000000000,61600.000000000000000,7699.888888888888687,1958.555555555555657,1911.000000000000000,0.000000000000000,1136.514396106913182,93217.889951151781133,1479.949248866562357,,10164.395316550026109,9867.492467392508843,14099.496846556852688,15267.473524834640557,2765.133916676591070,2765.133916676591070,718502.500043906271458,955240.021116619929671,3331.75570075567
3,6.000000000000000,553113.333333333372138,53715.000000000000000,7982.000000000000000,1986.500000000000000,2055.500000000000000,0.000000000000000,1136.513739954635412,93217.782314838535967,2220.403295510051066,,13975.301185951380830,13633.619346451092497,7760.049867525771333,2908.541156857784699,17232.349508877916378,2908.541156857784699,724572.041710573714226,931657.355519577860832,27338.9910201772
4,1.000000000000000,438800.000000000000000,40720.000000000000000,2036.000000000000000,1986.000000000000000,1704.000000000000000,0.000000000000000,1136.513739954635412,93217.782314838535967,4451.759039775495694,,11911.722312790927390,11409.395424998099770,8260.375672412728818,4721.571613055155467,12370.989182187871847,4721.571613055155467,716862.083377238828689,932509.740953911095858,25994.9801265067
5,8.000000000000000,564903.750000000000000,93186.250000000000000,7765.500000000000000,1959.500000000000000,1683.500000000000000,0.000000000000000,1136.514068037538209,93217.836134053621208,1652.458778882673869,,9953.746200944247903,9951.934043050418040,17727.365913651101437,12473.125316799629218,3616.603881826258203,3616.603881826258203,714729.541710573714226,954387.635609379503876,5045.501100029
6,12.000000000000000,478731.666666666686069,43192.500000000000000,7198.750000000000000,1990.333333333333258,2308.583333333333485,0.000000000000000,1136.514396106913182,93217.889951151781133,4147.403742085360136,,16957.652273206178506,16824.574606640278944,5780.804338401473615,2966.586158130796321,19232.046216500715673,2966.586158130796321,723423.750043906271458,928531.941986953956075,30388.7501016707
7,9.000000000000000,261521.111111111124046,16051.111111111111313,8025.777777777777374,1958.000000000000000,1104.000000000000000,0.000000000000000,1136.514068037538209,93217.836134053621208,6254.891503238849509,,4602.728862756433955,612.731597171709268,19124.711747629662568,2387.716442905737495,2968.723446617711943,2387.716442905737495,711284.666710573714226,943874.881044378969818,15959.1513733995
8,7.000000000000000,516088.571428571420256,47478.571428571427532,7912.714285714285325,1985.714285714285779,2055.142857142857338,0.000000000000000,1136.514396119818002,93217.889953268706449,2345.734740528718703,,14985.793581121606621,14829.315632150015517,7408.641077746338851,1927.438608287149236,17605.291373108717380,1927.438608287149236,723587.791710573714226,930520.841552452999167,28412.2703043356
9,6.000000000000000,233138.333333333343035,11340.000000000000000,3780.000000000000000,1982.000000000000000,1062.166666666666742,0.000000000000000,1136.513739954635412,93217.782314838535967,5842.119268617851048,,4206.714595759057374,1906.059666145341680,18359.235374715663056,2815.649923185240368,5087.261961642811002,2815.649923185240368,710464.458377238828689,940749.467584662139416,19157.5426357483
10,2.000000000000000,476875.000000000000000,53660.000000000000000,8943.500000000000000,1981.000000000000000,2183.000000000000000,0.000000000000000,1136.514068037537982,93217.836134053621208,1234.535871361161753,,6238.901452738471562,5902.172450978102461,13811.639627728120104,8374.011793905790910,7659.519508005178977,7659.519508005178977,716862.083377238828689,938192.311044713947922,20316.1135827475
11,8.000000000000000,362628.750000000000000,16605.000000000000000,8301.250000000000000,1967.750000000000000,1513.125000000000000,0.000000000000000,1136.513739954635412,93217.782314838535967,7310.260430120096316,,2577.209635431914194,1983.676922442910154,15983.751322962094491,1663.069344669420843,2214.789781122883596,1663.069344669420843,708331.916710573714226,945011.395084410905838,16396.2175078925
12,12.000000000000000,438641.666666666686069,44116.666666666664241,7352.750000000000000,1979.916666666666742,1784.833333333333258,0.000000000000000,1136.513739954635412,93217.782314838535967,1410.866233269303166,,13853.433404157300174,13695.015094737485924,8361.894381758995223,1947.645497239903307,16656.396340746090573,1947.645497239903307,723587.791710573714226,931657.355519577860832,27277.5660065873
13,2.000000000000000,808655.000000000000000,101230.000000000000000,6748.500000000000000,1960.500000000000000,1861.500000000000000,0.000000000000000,1136.513739941730591,93217.782312721625203,3237.154436031601108,,11976.117281982340501,11976.117281982340501,10709.674278141335890,20117.728713171527488,5059.176104168256643,5059.176104168256643,722931.625043906271458,957797.177583660930395,1153.71826094765
14,8.000000000000000,339918.750000000000000,16027.500000000000000,8014.250000000000000,1969.125000000000000,1637.000000000000000,0.000000000000000,1136.513739941730591,93217.782312721625203,8691.686969104173841,,1530.541070628983789,560.762552659422568,16217.982290118043238,539.030630643592644,2623.693122539958495,539.030630643592644,708167.875043906271458,943590.752584494650364,17676.761597317
15,6.000000000000000,395368.333333333313931,44775.000000000000000,3563.166666666666515,1986.000000000000000,1955.500000000000000,0.000000000000000,1136.513739941730591,93217.782312721625203,1996.913870435437730,,10695.833144774538596,10210.251829893932154,10463.263273146712891,5057.828104765757416,14797.545700221960942,5057.828104765757416,724900.125043906271458,935066.897584997117519,23969.072612946
16,10.000000000000000,422955.000000000000000,42300.000000000000000,7050.000000000000000,1979.299999999999955,1763.299999999999955,0.000000000000000,1136.513739954635412,93217.782314838535967,528.432524558448335,,12967.323444223948172,12874.987483960576355,8869.965651342816273,1947.065372941742453,15675.304854416361195,1947.065372941742453,723095.666710573714226,932509.740953911095858,26398.7783018616
17,8.000000000000000,277238.750000000000000,28961.250000000000000,7240.875000000000000,1973.750000000000000,1347.375000000000000,0.000000000000000,1136.514396119818002,93217.889953268706449,7594.255565693002609,,3615.576590847314947,2476.571658175093489,7509.374702673224419,16964.085253181434382,4867.575925093031401,4867.575925093031401,725228.208377238828689,948136.808617038652301,11003.3775417401
18,4.000000000000000,811777.500000000000000,133870.000000000000000,16129.000000000000000,1981.500000000000000,3920.250000000000000,0.000000000000000,1136.514068037537982,93217.836134053621208,5923.693271752486908,,6183.048385017061264,5379.241020707038842,10156.414221631843247,9347.495388535013262,10595.129005133918326,9347.495388535013262,725064.166710573714226,939897.082059194683097,19170.6714684967
