OID_,PARCEL_ID,JV,LND_VAL,LND_SQFOOT,ACT_YR_BLT,TOT_LVG_AREA,WaterAccess,Hwy_Acc_NEAR_DIST,Hwy_NEAR_DIST,Beach_Acc_NEAR_DIST,Grocery_NEAR_DIST,Any_School_NEAR_DIST,Lat,Long
1,474331120070.000000000000000,728990.000000000000000,47740.000000000000000,9093.000000000000000,2021.000000000000000,3903.000000000000000,1,23936.244197019572312,5315.267217884498677,8723.561546273509521,23936.244197019572312,3429.724421642660673,26.32745617,-80.10059512
2,474331120090.000000000000000,294280.000000000000000,44830.000000000000000,8539.000000000000000,1962.000000000000000,914.000000000000000,1,23941.034615852007846,5434.673262878986861,8609.369910814530158,23941.034615852007846,3372.823891151283078,26.3274661,-80.10023065
3,474236050010.000000000000000,201900.000000000000000,21930.000000000000000,7156.000000000000000,1971.000000000000000,1262.000000000000000,1,23907.224904156882985,4201.278921727475790,9791.249252888073897,23907.224904156882985,4082.814944062067298,26.3273276,-80.10399324
4,474236050020.000000000000000,227390.000000000000000,23670.000000000000000,6764.000000000000000,1971.000000000000000,1429.000000000000000,1,23909.670968822625582,4138.375048045114454,9852.558144340851868,23909.670968822625582,4127.462005847701221,26.32732731,-80.10418555
5,474236050030.000000000000000,245480.000000000000000,23840.000000000000000,6811.000000000000000,1971.000000000000000,1555.000000000000000,1,23912.198299215848238,4077.463816899022731,9911.945303250091456,23912.198299215848238,4171.146624980121487,26.32732703,-80.10437177
6,474236050040.000000000000000,210620.000000000000000,24000.000000000000000,6857.000000000000000,1971.000000000000000,1300.000000000000000,1,23914.880316503011272,4016.552217382586150,9971.352105735653822,23914.880316503011272,4215.261067422321503,26.32732674,-80.10455799
7,474236050050.000000000000000,230690.000000000000000,24160.000000000000000,6904.000000000000000,1971.000000000000000,1450.000000000000000,1,23917.717935375425441,3955.640638331175069,10030.778101786298066,23917.717935375425441,4259.792414130953148,26.32732646,-80.10474421
8,474236050060.000000000000000,245890.000000000000000,24330.000000000000000,6951.000000000000000,1971.000000000000000,1613.000000000000000,1,23920.709771058220213,3894.729325324230103,10090.222349317476983,23920.709771058220213,4304.726607609987695,26.32732617,-80.10493043
9,474236050070.000000000000000,411090.000000000000000,24490.000000000000000,6997.000000000000000,1971.000000000000000,2715.000000000000000,1,23923.858055478965980,3833.818421625633619,10149.685013287289621,23923.858055478965980,4350.052664782162537,26.32732589,-80.10511665
10,474236050080.000000000000000,222840.000000000000000,24650.000000000000000,7044.000000000000000,1971.000000000000000,1331.000000000000000,1,23927.160822842135531,3772.906822109073346,10209.166308895644761,23927.160822842135531,4395.757911626361420,26.32732561,-80.10530287
11,474236050090.000000000000000,325450.000000000000000,24820.000000000000000,7091.000000000000000,1971.000000000000000,2138.000000000000000,1,23930.618952632707078,3711.995243053944705,10268.665490895362382,23930.618952632707078,4441.830804188311959,26.32732532,-80.10548909
12,474236050100.000000000000000,188790.000000000000000,24980.000000000000000,7138.000000000000000,1971.000000000000000,1331.000000000000000,1,23934.231722896722204,3651.083643537508124,10328.182112231228530,23934.231722896722204,4488.259601454665244,26.32732504,-80.10567531
13,474236050110.000000000000000,222420.000000000000000,25620.000000000000000,7321.000000000000000,1971.000000000000000,1331.000000000000000,1,23938.063834050408332,3589.594882297299591,10388.287675608033169,23938.063834050408332,4535.497412378340414,26.32732483,-80.1058633
14,474236100010.000000000000000,246210.000000000000000,35830.000000000000000,10238.000000000000000,1980.000000000000000,1323.000000000000000,1,23992.362801833231060,2937.234796420895236,11027.989430673029347,23992.362801833231060,5058.141121215648127,26.32733341,-80.10785843
15,474236040690.000000000000000,219310.000000000000000,24490.000000000000000,6997.000000000000000,1980.000000000000000,1310.000000000000000,1,23983.281057163178048,3007.447823243620860,10958.442549932775364,23983.281057163178048,4998.922802899843191,26.32732593,-80.10764329
16,474236040683.000000000000000,186120.000000000000000,22650.000000000000000,6471.000000000000000,1980.000000000000000,1205.000000000000000,1,23978.461205094099569,3061.328433904139274,10905.603385100415835,23978.461205094099569,4954.942484442744899,26.32732571,-80.10747854
17,474236040682.000000000000000,185950.000000000000000,22530.000000000000000,6437.000000000000000,1980.000000000000000,1205.000000000000000,1,23973.965993700461695,3113.249514832442401,10854.705586472149662,23973.965993700461695,4912.772394671535039,26.32732559,-80.10731978
18,474236040681.000000000000000,198800.000000000000000,22410.000000000000000,6403.000000000000000,1980.000000000000000,1205.000000000000000,1,23969.582764338178094,3165.170595760737797,10803.818319062660521,23969.582764338178094,4870.792431012218003,26.32732548,-80.10716103
19,474236040680.000000000000000,185890.000000000000000,22290.000000000000000,6369.000000000000000,1980.000000000000000,1205.000000000000000,1,23965.311280204619834,3217.091328779772084,10752.941987607508054,23965.311280204619834,4829.007621573211509,26.32732536,-80.10700227
20,474236040675.000000000000000,301160.000000000000000,22170.000000000000000,6335.000000000000000,1980.000000000000000,1856.000000000000000,1,23961.152196941715374,3269.012409711800501,10702.076233594309087,23961.152196941715374,4787.422932216068148,26.32732525,-80.10684351
21,474236040674.000000000000000,185530.000000000000000,22050.000000000000000,6301.000000000000000,1980.000000000000000,1205.000000000000000,1,23957.105275457852258,3320.933490640095897,10651.221467841254707,23957.105275457852258,4746.043697763597265,26.32732513,-80.10668476
22,474236040673.000000000000000,185410.000000000000000,21930.000000000000000,6267.000000000000000,1980.000000000000000,1205.000000000000000,1,23953.170245592969877,3372.854551103249378,10600.377781384016998,23953.170245592969877,4704.875139388452226,26.32732502,-80.106526
23,474236040672.000000000000000,185170.000000000000000,21820.000000000000000,6233.000000000000000,1980.000000000000000,1205.000000000000000,1,23949.348169446220709,3424.775325052939024,10549.545857781582527,23949.348169446220709,4663.923699393815696,26.3273249,-80.10636724
24,474236040671.000000000000000,232790.000000000000000,21700.000000000000000,6199.000000000000000,1980.000000000000000,1556.000000000000000,1,23945.637740404625220,3476.696385519810519,10498.724949953420946,23945.637740404625220,4623.193808207816801,26.32732479,-80.10620849
25,474236040670.000000000000000,186710.000000000000000,23230.000000000000000,6638.000000000000000,1980.000000000000000,1205.000000000000000,1,23941.904124901873729,3530.610068060952926,10445.966035988132717,23941.904124901873729,4581.142493088035735,26.32732467,-80.10604364
26,474236100020.000000000000000,208480.000000000000000,29510.000000000000000,8431.000000000000000,1980.000000000000000,1212.000000000000000,1,24000.031853722932283,2859.879163289922872,11103.965926008793758,24000.031853722932283,5122.144672920013363,26.32733459,-80.10809502
27,474236100030.000000000000000,107500.000000000000000,29510.000000000000000,8431.000000000000000,1978.000000000000000,2300.000000000000000,1,24007.171758201639022,2790.009564454986048,11172.607860968697423,24007.171758201639022,5180.271264169422466,26.32733565,-80.10830872
28,474236100040.000000000000000,206980.000000000000000,29510.000000000000000,8431.000000000000000,1980.000000000000000,1201.000000000000000,1,24014.513292729403474,2720.139617711005030,11241.266803110736873,24014.513292729403474,5238.688353871943036,26.32733671,-80.10852241
29,474236100050.000000000000000,229410.000000000000000,29510.000000000000000,8431.000000000000000,1980.000000000000000,1323.000000000000000,1,24022.056854893155105,2650.270018875603000,11309.941930576876985,24022.056854893155105,5297.386147367975354,26.32733777,-80.1087361
30,474236100060.000000000000000,208480.000000000000000,29510.000000000000000,8431.000000000000000,1980.000000000000000,1212.000000000000000,1,24029.801636861298903,2580.400399575284155,11378.633141311776853,24029.801636861298903,5356.355329900760808,26.32733883,-80.1089498
31,474236100070.000000000000000,224800.000000000000000,29510.000000000000000,8431.000000000000000,1980.000000000000000,1323.000000000000000,1,24037.747731826577365,2510.531107718597013,11447.339885774457798,24037.747731826577365,5415.586931233881842,26.32733989,-80.10916349
32,474236100080.000000000000000,206910.000000000000000,29510.000000000000000,8431.000000000000000,1980.000000000000000,1201.000000000000000,1,24045.895341308398201,2440.661508883318675,11516.062586141388238,24045.895341308398201,5475.073152777505129,26.32734095,-80.10937718
33,474236100090.000000000000000,354680.000000000000000,29510.000000000000000,8431.000000000000000,1980.000000000000000,2182.000000000000000,1,24054.243897728265438,2370.791910048381851,11584.800580722238010,24054.243897728265438,5534.805346756398649,26.32734201,-80.10959088
